类型,索引,替换目标,文本值(简中）
card_config,210142,name,变换护腕
card_config,22014,name,变换护腕
card_config,220141,name,变换护腕
card_config,220142,name,变换护腕
card_config,23014,name,变换护腕
card_config,230141,name,变换护腕
card_config,230142,name,变换护腕
card_config,24014,name,变换护腕
card_config,240141,name,变换护腕
card_config,240142,name,变换护腕
card_config,25014,name,变换护腕
card_config,250141,name,变换护腕
card_config,250142,name,变换护腕
card_config,26014,name,变换护腕
card_config,260141,name,变换护腕
card_config,260142,name,变换护腕
card_config,21015,name,法师帽
card_config,210151,name,法师帽
card_config,210152,name,法师帽
card_config,22015,name,法师帽
card_config,220151,name,法师帽
card_config,220152,name,法师帽
card_config,23015,name,法师帽
card_config,230151,name,法师帽
card_config,230152,name,法师帽
card_config,24015,name,法师帽
card_config,240151,name,法师帽
card_config,240152,name,法师帽
card_config,25015,name,法师帽
card_config,250151,name,法师帽
card_config,250152,name,法师帽
card_config,26015,name,法师帽
card_config,260151,name,法师帽
card_config,260152,name,法师帽
card_config,21016,name,格斗手套
card_config,210161,name,格斗手套
card_config,210162,name,格斗手套
card_config,22016,name,格斗手套
card_config,220161,name,格斗手套
card_config,220162,name,格斗手套
card_config,24016,name,格斗手套
card_config,240161,name,格斗手套
card_config,240162,name,格斗手套
card_config,25016,name,格斗手套
card_config,250161,name,格斗手套
card_config,250162,name,格斗手套
card_config,26016,name,格斗手套
card_config,260161,name,格斗手套
card_config,260162,name,格斗手套
card_config,21017,name,羊皮盾
card_config,210171,name,羊皮盾
card_config,210172,name,羊皮盾
card_config,22017,name,羊皮盾
card_config,220171,name,羊皮盾
card_config,220172,name,羊皮盾
card_config,23017,name,羊皮盾
card_config,230171,name,羊皮盾
card_config,230172,name,羊皮盾
card_config,24017,name,羊皮盾
card_config,240171,name,羊皮盾
card_config,240172,name,羊皮盾
card_config,26017,name,羊皮盾
card_config,260171,name,羊皮盾
card_config,260172,name,羊皮盾
card_config,22018,name,金冠
card_config,220181,name,金冠
card_config,220182,name,金冠
card_config,23018,name,金冠
card_config,230181,name,金冠
card_config,230182,name,金冠
card_config,24018,name,金冠
card_config,240181,name,金冠
card_config,240182,name,金冠
card_config,25018,name,金冠
card_config,250181,name,金冠
card_config,250182,name,金冠
card_config,26018,name,金冠
card_config,260181,name,金冠
card_config,260182,name,金冠
card_config,21019,name,尖刺护甲
card_config,210191,name,尖刺护甲
card_config,210192,name,尖刺护甲
card_config,23019,name,尖刺护甲
card_config,230191,name,尖刺护甲
card_config,230192,name,尖刺护甲
card_config,24019,name,尖刺护甲
card_config,240191,name,尖刺护甲
card_config,240192,name,尖刺护甲
card_config,25019,name,尖刺护甲
card_config,250191,name,尖刺护甲
card_config,250192,name,尖刺护甲
card_config,26019,name,尖刺护甲
card_config,260191,name,尖刺护甲
card_config,260192,name,尖刺护甲
card_config,21020,name,魔法护盾
card_config,210201,name,魔法护盾
card_config,210202,name,魔法护盾
card_config,22020,name,魔法护盾
card_config,220201,name,魔法护盾
card_config,220202,name,魔法护盾
card_config,23020,name,魔法护盾
card_config,230201,name,魔法护盾
card_config,230202,name,魔法护盾
card_config,25020,name,魔法护盾
card_config,250201,name,魔法护盾
card_config,250202,name,魔法护盾
card_config,26020,name,魔法护盾
card_config,260201,name,魔法护盾
card_config,260202,name,魔法护盾
card_config,21021,name,冲锋盾牌
card_config,210211,name,冲锋盾牌
card_config,210212,name,冲锋盾牌
card_config,22021,name,冲锋盾牌
card_config,220211,name,冲锋盾牌
card_config,220212,name,冲锋盾牌
card_config,23021,name,冲锋盾牌
card_config,230211,name,冲锋盾牌
card_config,230212,name,冲锋盾牌
card_config,24021,name,冲锋盾牌
card_config,240211,name,冲锋盾牌
card_config,240212,name,冲锋盾牌
card_config,25021,name,冲锋盾牌
card_config,250211,name,冲锋盾牌
card_config,250212,name,冲锋盾牌
card_config,26021,name,冲锋盾牌
card_config,260211,name,冲锋盾牌
card_config,260212,name,冲锋盾牌
card_config,22022,name,美杜莎之盾
card_config,220221,name,美杜莎之盾
card_config,220222,name,美杜莎之盾
card_config,23022,name,美杜莎之盾
card_config,230221,name,美杜莎之盾
card_config,230222,name,美杜莎之盾
card_config,24022,name,美杜莎之盾
card_config,240221,name,美杜莎之盾
card_config,240222,name,美杜莎之盾
card_config,26022,name,美杜莎之盾
card_config,260221,name,美杜莎之盾
card_config,260222,name,美杜莎之盾
card_config,22023,name,修理板甲
card_config,220231,name,修理板甲
card_config,220232,name,修理板甲
card_config,23023,name,修理板甲
card_config,230231,name,修理板甲
card_config,230232,name,修理板甲
card_config,24023,name,修理板甲
card_config,240231,name,修理板甲
card_config,240232,name,修理板甲
card_config,26023,name,修理板甲
card_config,260231,name,修理板甲
card_config,260232,name,修理板甲
card_config,22024,name,战斗宝冠
card_config,220241,name,战斗宝冠
card_config,220242,name,战斗宝冠
card_config,23024,name,战斗宝冠
card_config,230241,name,战斗宝冠
card_config,230242,name,战斗宝冠
card_config,24024,name,战斗宝冠
card_config,240241,name,战斗宝冠
card_config,240242,name,战斗宝冠
card_config,25024,name,战斗宝冠
card_config,250241,name,战斗宝冠
card_config,250242,name,战斗宝冠
card_config,26024,name,战斗宝冠
card_config,260241,name,战斗宝冠
card_config,260242,name,战斗宝冠
card_config,21025,name,岩石护甲
card_config,210251,name,岩石护甲
card_config,210252,name,岩石护甲
card_config,22025,name,岩石护甲
card_config,220251,name,岩石护甲
card_config,220252,name,岩石护甲
card_config,23025,name,岩石护甲
card_config,230251,name,岩石护甲
card_config,230252,name,岩石护甲
card_config,24025,name,岩石护甲
card_config,240251,name,岩石护甲
card_config,240252,name,岩石护甲
card_config,26025,name,岩石护甲
card_config,260251,name,岩石护甲
card_config,260252,name,岩石护甲
card_config,21026,name,恶魔护甲
card_config,210261,name,恶魔护甲
card_config,210262,name,恶魔护甲
card_config,22026,name,恶魔护甲
card_config,220261,name,恶魔护甲
card_config,220262,name,恶魔护甲
card_config,23026,name,恶魔护甲
card_config,230261,name,恶魔护甲
card_config,230262,name,恶魔护甲
card_config,24026,name,恶魔护甲
card_config,240261,name,恶魔护甲
card_config,240262,name,恶魔护甲
card_config,25026,name,恶魔护甲
card_config,250261,name,恶魔护甲
card_config,250262,name,恶魔护甲
card_config,26026,name,恶魔护甲
card_config,260261,name,恶魔护甲
card_config,260262,name,恶魔护甲
card_config,21027,name,保护者护甲
card_config,210271,name,保护者护甲
card_config,210272,name,保护者护甲
card_config,22027,name,保护者护甲
card_config,220271,name,保护者护甲
card_config,220272,name,保护者护甲
card_config,23027,name,保护者护甲
card_config,230271,name,保护者护甲
card_config,230272,name,保护者护甲
card_config,24027,name,保护者护甲
card_config,240271,name,保护者护甲
card_config,240272,name,保护者护甲
card_config,26027,name,保护者护甲
card_config,260271,name,保护者护甲
card_config,260272,name,保护者护甲
card_config,21028,name,骷髅革甲
card_config,210281,name,骷髅革甲
card_config,210282,name,骷髅革甲
card_config,23028,name,骷髅革甲
card_config,230281,name,骷髅革甲
card_config,230282,name,骷髅革甲
card_config,24028,name,骷髅革甲
card_config,240281,name,骷髅革甲
card_config,240282,name,骷髅革甲
card_config,26028,name,骷髅革甲
card_config,260281,name,骷髅革甲
card_config,260282,name,骷髅革甲
card_config,21029,name,木制护腕
card_config,210291,name,木制护腕
card_config,210292,name,木制护腕
card_config,22029,name,木制护腕
card_config,220291,name,木制护腕
card_config,220292,name,木制护腕
card_config,23029,name,木制护腕
card_config,230291,name,木制护腕
card_config,230292,name,木制护腕
card_config,24029,name,木制护腕
card_config,240291,name,木制护腕
card_config,240292,name,木制护腕
card_config,25029,name,木制护腕
card_config,250291,name,木制护腕
card_config,250292,name,木制护腕
card_config,26029,name,木制护腕
card_config,260291,name,木制护腕
card_config,260292,name,木制护腕
card_config,31001,name,短剑
card_config,310011,name,短剑
card_config,310012,name,短剑
card_config,32001,name,短剑
card_config,320011,name,短剑
card_config,320012,name,短剑
card_config,34001,name,短剑
card_config,340011,name,短剑
card_config,340012,name,短剑
card_config,35001,name,短剑
card_config,350011,name,短剑
card_config,350012,name,短剑
card_config,36001,name,短剑
card_config,360011,name,短剑
card_config,360012,name,短剑
card_config,31002,name,短弓
card_config,310021,name,短弓
card_config,310022,name,短弓
card_config,32002,name,短弓
card_config,320021,name,短弓
card_config,320022,name,短弓
card_config,33002,name,短弓
card_config,330021,name,短弓
card_config,330022,name,短弓
card_config,34002,name,短弓
card_config,340021,name,短弓
card_config,340022,name,短弓
card_config,35002,name,短弓
card_config,350021,name,短弓
card_config,350022,name,短弓
card_config,36002,name,短弓
card_config,360021,name,短弓
card_config,360022,name,短弓
card_config,31003,name,橡木法杖
card_config,310031,name,橡木法杖
card_config,310032,name,橡木法杖
card_config,32003,name,橡木法杖
card_config,320031,name,橡木法杖
card_config,320032,name,橡木法杖
card_config,33003,name,橡木法杖
card_config,330031,name,橡木法杖
card_config,330032,name,橡木法杖
card_config,34003,name,橡木法杖
card_config,340031,name,橡木法杖
card_config,340032,name,橡木法杖
card_config,35003,name,橡木法杖
card_config,350031,name,橡木法杖
card_config,350032,name,橡木法杖
card_config,36003,name,橡木法杖
card_config,360031,name,橡木法杖
card_config,360032,name,橡木法杖
card_config,31004,name,野蛮战靴
card_config,310041,name,野蛮战靴
card_config,310042,name,野蛮战靴
card_config,32004,name,野蛮战靴
card_config,320041,name,野蛮战靴
card_config,320042,name,野蛮战靴
card_config,33004,name,野蛮战靴
card_config,330041,name,野蛮战靴
card_config,330042,name,野蛮战靴
card_config,34004,name,野蛮战靴
card_config,340041,name,野蛮战靴
card_config,340042,name,野蛮战靴
card_config,35004,name,野蛮战靴
card_config,350041,name,野蛮战靴
card_config,350042,name,野蛮战靴
card_config,36004,name,野蛮战靴
card_config,360041,name,野蛮战靴
card_config,360042,name,野蛮战靴
card_config,32005,name,飞鞋
card_config,320051,name,飞鞋
card_config,320052,name,飞鞋
card_config,33005,name,飞鞋
card_config,330051,name,飞鞋
card_config,330052,name,飞鞋
card_config,34005,name,飞鞋
card_config,340051,name,飞鞋
card_config,340052,name,飞鞋
card_config,35005,name,飞鞋
card_config,350051,name,飞鞋
card_config,350052,name,飞鞋
card_config,36005,name,飞鞋
card_config,360051,name,飞鞋
card_config,360052,name,飞鞋
card_config,31006,name,翡翠戒指
card_config,310061,name,翡翠戒指
card_config,310062,name,翡翠戒指
card_config,32006,name,翡翠戒指
card_config,320061,name,翡翠戒指
card_config,320062,name,翡翠戒指
card_config,33006,name,翡翠戒指
card_config,330061,name,翡翠戒指
card_config,330062,name,翡翠戒指
card_config,34006,name,翡翠戒指
card_config,340061,name,翡翠戒指
card_config,340062,name,翡翠戒指
card_config,35006,name,翡翠戒指
card_config,350061,name,翡翠戒指
card_config,350062,name,翡翠戒指
card_config,36006,name,翡翠戒指
card_config,360061,name,翡翠戒指
card_config,360062,name,翡翠戒指
card_config,31007,name,长剑
card_config,310071,name,长剑
card_config,310072,name,长剑
card_config,32007,name,长剑
card_config,320071,name,长剑
card_config,320072,name,长剑
card_config,34007,name,长剑
card_config,340071,name,长剑
card_config,340072,name,长剑
card_config,35007,name,长剑
card_config,350071,name,长剑
card_config,350072,name,长剑
card_config,36007,name,长剑
card_config,360071,name,长剑
card_config,360072,name,长剑
card_config,32008,name,幸运靴
card_config,320081,name,幸运靴
card_config,320082,name,幸运靴
card_config,33008,name,幸运靴
card_config,330081,name,幸运靴
card_config,330082,name,幸运靴
card_config,34008,name,幸运靴
card_config,340081,name,幸运靴
card_config,340082,name,幸运靴
card_config,35008,name,幸运靴
card_config,350081,name,幸运靴
card_config,350082,name,幸运靴
card_config,36008,name,幸运靴
card_config,360081,name,幸运靴
card_config,360082,name,幸运靴
card_config,31009,name,猎弓
card_config,310091,name,猎弓
card_config,310092,name,猎弓
card_config,32009,name,猎弓
card_config,320091,name,猎弓
card_config,320092,name,猎弓
card_config,33009,name,猎弓
card_config,330091,name,猎弓
card_config,330092,name,猎弓
card_config,34009,name,猎弓
card_config,340091,name,猎弓
card_config,340092,name,猎弓
card_config,36009,name,猎弓
card_config,360091,name,猎弓
card_config,360092,name,猎弓
card_config,31010,name,均衡之戒
card_config,310101,name,均衡之戒
card_config,310102,name,均衡之戒
card_config,32010,name,均衡之戒
card_config,320101,name,均衡之戒
card_config,320102,name,均衡之戒
card_config,33010,name,均衡之戒
card_config,330101,name,均衡之戒
card_config,330102,name,均衡之戒
card_config,34010,name,均衡之戒
card_config,340101,name,均衡之戒
card_config,340102,name,均衡之戒
card_config,35010,name,均衡之戒
card_config,350101,name,均衡之戒
card_config,350102,name,均衡之戒
card_config,36010,name,均衡之戒
card_config,360101,name,均衡之戒
card_config,360102,name,均衡之戒
card_config,31011,name,勇气挂坠
card_config,310111,name,勇气挂坠
card_config,310112,name,勇气挂坠
card_config,32011,name,勇气挂坠
card_config,320111,name,勇气挂坠
card_config,320112,name,勇气挂坠
card_config,33011,name,勇气挂坠
card_config,330111,name,勇气挂坠
card_config,330112,name,勇气挂坠
card_config,34011,name,勇气挂坠
card_config,340111,name,勇气挂坠
card_config,340112,name,勇气挂坠
card_config,35011,name,勇气挂坠
card_config,350111,name,勇气挂坠
card_config,350112,name,勇气挂坠
card_config,36011,name,勇气挂坠
card_config,360111,name,勇气挂坠
card_config,360112,name,勇气挂坠
card_config,31012,name,乌木法杖
card_config,310121,name,乌木法杖
card_config,310122,name,乌木法杖
card_config,32012,name,乌木法杖
card_config,320121,name,乌木法杖
card_config,320122,name,乌木法杖
card_config,33012,name,乌木法杖
card_config,330121,name,乌木法杖
card_config,330122,name,乌木法杖
card_config,34012,name,乌木法杖
card_config,340121,name,乌木法杖
card_config,340122,name,乌木法杖
card_config,35012,name,乌木法杖
card_config,350121,name,乌木法杖
card_config,350122,name,乌木法杖
card_config,36012,name,乌木法杖
card_config,360121,name,乌木法杖
card_config,360122,name,乌木法杖
card_config,31013,name,战斗法杖
card_config,310131,name,战斗法杖
card_config,310132,name,战斗法杖
card_config,32013,name,战斗法杖
card_config,320131,name,战斗法杖
card_config,320132,name,战斗法杖
card_config,33013,name,战斗法杖
card_config,330131,name,战斗法杖
card_config,330132,name,战斗法杖
card_config,34013,name,战斗法杖
card_config,340131,name,战斗法杖
card_config,340132,name,战斗法杖
card_config,35013,name,战斗法杖
card_config,350131,name,战斗法杖
card_config,350132,name,战斗法杖
card_config,36013,name,战斗法杖
card_config,360131,name,战斗法杖
card_config,360132,name,战斗法杖
card_config,32014,name,治疗法杖
card_config,320141,name,治疗法杖
card_config,320142,name,治疗法杖
card_config,33014,name,治疗法杖
card_config,330141,name,治疗法杖
card_config,330142,name,治疗法杖
card_config,34014,name,治疗法杖
card_config,340141,name,治疗法杖
card_config,340142,name,治疗法杖
card_config,36014,name,治疗法杖
card_config,360141,name,治疗法杖
card_config,360142,name,治疗法杖
card_config,32015,name,治疗长笛
card_config,320151,name,治疗长笛
card_config,320152,name,治疗长笛
card_config,33015,name,治疗长笛
card_config,330151,name,治疗长笛
card_config,330152,name,治疗长笛
card_config,34015,name,治疗长笛
card_config,340151,name,治疗长笛
card_config,340152,name,治疗长笛
card_config,36015,name,治疗长笛
card_config,360151,name,治疗长笛
card_config,360152,name,治疗长笛
card_config,31016,name,霍特普的宝石
card_config,310161,name,霍特普的宝石
card_config,310162,name,霍特普的宝石
card_config,32016,name,霍特普的宝石
card_config,320161,name,霍特普的宝石
card_config,320162,name,霍特普的宝石
card_config,33016,name,霍特普的宝石
card_config,330161,name,霍特普的宝石
card_config,330162,name,霍特普的宝石
card_config,34016,name,霍特普的宝石
card_config,340161,name,霍特普的宝石
card_config,340162,name,霍特普的宝石
card_config,35016,name,霍特普的宝石
card_config,350161,name,霍特普的宝石
card_config,350162,name,霍特普的宝石
card_config,36016,name,霍特普的宝石
card_config,360161,name,霍特普的宝石
card_config,360162,name,霍特普的宝石
card_config,31017,name,毒刃
card_config,310171,name,毒刃
card_config,310172,name,毒刃
card_config,32017,name,毒刃
card_config,320171,name,毒刃
card_config,320172,name,毒刃
card_config,33017,name,毒刃
card_config,330171,name,毒刃
card_config,330172,name,毒刃
card_config,34017,name,毒刃
card_config,340171,name,毒刃
card_config,340172,name,毒刃
card_config,35017,name,毒刃
card_config,350171,name,毒刃
card_config,350172,name,毒刃
card_config,36017,name,毒刃
card_config,360171,name,毒刃
card_config,360172,name,毒刃
card_config,32018,name,诡诈手枪
card_config,320181,name,诡诈手枪
card_config,320182,name,诡诈手枪
card_config,33018,name,诡诈手枪
card_config,330181,name,诡诈手枪
card_config,330182,name,诡诈手枪
card_config,34018,name,诡诈手枪
card_config,340181,name,诡诈手枪
card_config,340182,name,诡诈手枪
card_config,35018,name,诡诈手枪
card_config,350181,name,诡诈手枪
card_config,350182,name,诡诈手枪
card_config,36018,name,诡诈手枪
card_config,360181,name,诡诈手枪
card_config,360182,name,诡诈手枪
card_config,31019,name,长矛
card_config,310191,name,长矛
card_config,310192,name,长矛
card_config,32019,name,长矛
card_config,320191,name,长矛
card_config,320192,name,长矛
card_config,34019,name,长矛
card_config,340191,name,长矛
card_config,340192,name,长矛
card_config,35019,name,长矛
card_config,350191,name,长矛
card_config,350192,name,长矛
card_config,36019,name,长矛
card_config,360191,name,长矛
card_config,360192,name,长矛
card_config,31020,name,破碎战锤
card_config,310201,name,破碎战锤
card_config,310202,name,破碎战锤
card_config,32020,name,破碎战锤
card_config,320201,name,破碎战锤
card_config,320202,name,破碎战锤
card_config,33020,name,破碎战锤
card_config,330201,name,破碎战锤
card_config,330202,name,破碎战锤
card_config,34020,name,破碎战锤
card_config,340201,name,破碎战锤
card_config,340202,name,破碎战锤
card_config,35020,name,破碎战锤
card_config,350201,name,破碎战锤
card_config,350202,name,破碎战锤
card_config,36020,name,破碎战锤
card_config,360201,name,破碎战锤
card_config,360202,name,破碎战锤
card_config,31021,name,魔法指环
card_config,310211,name,魔法指环
card_config,310212,name,魔法指环
card_config,32021,name,魔法指环
card_config,320211,name,魔法指环
card_config,320212,name,魔法指环
card_config,33021,name,魔法指环
card_config,330211,name,魔法指环
card_config,330212,name,魔法指环
card_config,34021,name,魔法指环
card_config,340211,name,魔法指环
card_config,340212,name,魔法指环
card_config,35021,name,魔法指环
card_config,350211,name,魔法指环
card_config,350212,name,魔法指环
card_config,36021,name,魔法指环
card_config,360211,name,魔法指环
card_config,360212,name,魔法指环
card_config,31022,name,战斧
card_config,310221,name,战斧
card_config,310222,name,战斧
card_config,32022,name,战斧
card_config,320221,name,战斧
card_config,320222,name,战斧
card_config,33022,name,战斧
card_config,330221,name,战斧
card_config,330222,name,战斧
card_config,34022,name,战斧
card_config,340221,name,战斧
card_config,340222,name,战斧
card_config,35022,name,战斧
card_config,350221,name,战斧
card_config,350222,name,战斧
card_config,36022,name,战斧
card_config,360221,name,战斧
card_config,360222,name,战斧
card_config,31023,name,冲锋弓
card_config,310231,name,冲锋弓
card_config,310232,name,冲锋弓
card_config,32023,name,冲锋弓
card_config,320231,name,冲锋弓
card_config,320232,name,冲锋弓
card_config,33023,name,冲锋弓
card_config,330231,name,冲锋弓
card_config,330232,name,冲锋弓
card_config,34023,name,冲锋弓
card_config,340231,name,冲锋弓
card_config,340232,name,冲锋弓
card_config,35023,name,冲锋弓
card_config,350231,name,冲锋弓
card_config,350232,name,冲锋弓
card_config,36023,name,冲锋弓
card_config,360231,name,冲锋弓
card_config,360232,name,冲锋弓
card_config,31024,name,十字弩
card_config,310241,name,十字弩
card_config,310242,name,十字弩
card_config,32024,name,十字弩
card_config,320241,name,十字弩
card_config,320242,name,十字弩
card_config,33024,name,十字弩
card_config,330241,name,十字弩
card_config,330242,name,十字弩
card_config,34024,name,十字弩
card_config,340241,name,十字弩
card_config,340242,name,十字弩
card_config,35024,name,十字弩
card_config,350241,name,十字弩
card_config,350242,name,十字弩
card_config,36024,name,十字弩
card_config,360241,name,十字弩
card_config,360242,name,十字弩
card_config,33025,name,能量法杖
card_config,330251,name,能量法杖
card_config,330252,name,能量法杖
card_config,35025,name,能量法杖
card_config,350251,name,能量法杖
card_config,350252,name,能量法杖
card_config,36025,name,能量法杖
card_config,360251,name,能量法杖
card_config,360252,name,能量法杖
card_config,32026,name,世纪之角
card_config,320261,name,世纪之角
card_config,320262,name,世纪之角
card_config,33026,name,世纪之角
card_config,330261,name,世纪之角
card_config,330262,name,世纪之角
card_config,34026,name,世纪之角
card_config,340261,name,世纪之角
card_config,340262,name,世纪之角
card_config,36026,name,世纪之角
card_config,360261,name,世纪之角
card_config,360262,name,世纪之角
card_config,31027,name,暮光之戟
card_config,310271,name,暮光之戟
card_config,310272,name,暮光之戟
card_config,32027,name,暮光之戟
card_config,320271,name,暮光之戟
card_config,320272,name,暮光之戟
card_config,34027,name,暮光之戟
card_config,340271,name,暮光之戟
card_config,340272,name,暮光之戟
card_config,35027,name,暮光之戟
card_config,350271,name,暮光之戟
card_config,350272,name,暮光之戟
card_config,36027,name,暮光之戟
card_config,360271,name,暮光之戟
card_config,360272,name,暮光之戟
card_config,31028,name,石笋手套
card_config,310281,name,石笋手套
card_config,310282,name,石笋手套
card_config,32028,name,石笋手套
card_config,320281,name,石笋手套
card_config,320282,name,石笋手套
card_config,33028,name,石笋手套
card_config,330281,name,石笋手套
card_config,330282,name,石笋手套
card_config,34028,name,石笋手套
card_config,340281,name,石笋手套
card_config,340282,name,石笋手套
card_config,35028,name,石笋手套
card_config,350281,name,石笋手套
card_config,350282,name,石笋手套
card_config,36028,name,石笋手套
card_config,360281,name,石笋手套
card_config,360282,name,石笋手套
card_config,31029,name,圣剑
card_config,310291,name,圣剑
card_config,310292,name,圣剑
card_config,32029,name,圣剑
card_config,320291,name,圣剑
card_config,320292,name,圣剑
card_config,33029,name,圣剑
card_config,330291,name,圣剑
card_config,330292,name,圣剑
card_config,34029,name,圣剑
card_config,340291,name,圣剑
card_config,340292,name,圣剑
card_config,35029,name,圣剑
card_config,350291,name,圣剑
card_config,350292,name,圣剑
card_config,36029,name,圣剑
card_config,360291,name,圣剑
card_config,360292,name,圣剑
card_config,31030,name,蝎子巨弩
card_config,310301,name,蝎子巨弩
card_config,310302,name,蝎子巨弩
card_config,32030,name,蝎子巨弩
card_config,320301,name,蝎子巨弩
card_config,320302,name,蝎子巨弩
card_config,33030,name,蝎子巨弩
card_config,330301,name,蝎子巨弩
card_config,330302,name,蝎子巨弩
card_config,34030,name,蝎子巨弩
card_config,340301,name,蝎子巨弩
card_config,340302,name,蝎子巨弩
card_config,35030,name,蝎子巨弩
card_config,350301,name,蝎子巨弩
card_config,350302,name,蝎子巨弩
card_config,36030,name,蝎子巨弩
card_config,360301,name,蝎子巨弩
card_config,360302,name,蝎子巨弩
card_config,31031,name,黑曜石之矛
card_config,310311,name,黑曜石之矛
card_config,310312,name,黑曜石之矛
card_config,32031,name,黑曜石之矛
card_config,320311,name,黑曜石之矛
card_config,320312,name,黑曜石之矛
card_config,33031,name,黑曜石之矛
card_config,330311,name,黑曜石之矛
card_config,330312,name,黑曜石之矛
card_config,34031,name,黑曜石之矛
card_config,340311,name,黑曜石之矛
card_config,340312,name,黑曜石之矛
card_config,35031,name,黑曜石之矛
card_config,350311,name,黑曜石之矛
card_config,350312,name,黑曜石之矛
card_config,36031,name,黑曜石之矛
card_config,360311,name,黑曜石之矛
card_config,360312,name,黑曜石之矛
card_config,40001,name,投掷匕首
card_config,40002,name,小瓶药水
card_config,40003,name,治疗药水
card_config,40004,name,光之炸弹
card_config,40005,name,回旋镖
card_config,40006,name,龙之血
card_config,40007,name,治愈圆号
card_config,40008,name,枯萎匕首
card_config,40009,name,浸毒匕首
card_config,40010,name,易碎药膏
card_config,40011,name,天使之声
card_config,40012,name,龙之泪
card_config,40013,name,猛烈炸弹
card_config,40014,name,手里剑
card_config,40015,name,万能药
chest_config,1,name,超级神奇
chest_config,2,name,神奇
chest_config,3,name,超大
chest_config,4,name,皇冠
chest_config,5,name,魔法
chest_config,6,name,黄金
chest_config,7,name,白银
chest_config,8,name,木制
chest_config,9,name,破旧的扈从卡包
chest_config,10,name,辉煌的骑士卡包
chest_config,11,name,奢华的领主卡包
chest_config,12,name,丧心病狂的恶魔卡包
chest_config,13,name,破旧的庶民卡包
chest_config,14,name,破旧的新手卡包
chest_config,15,name,破旧的见习卡包
chest_config,16,name,破旧的见习卡包
chest_config,17,name,破旧的学徒卡包
chest_config,18,name,开发组的爱和涌报
chest_config,19,name,老板娘的日常卡包1段(旧）
chest_config,20,name,老板娘的日常卡包2段(旧）
chest_config,21,name,老板娘的日常卡包3段(旧）
chest_config,22,name,老板娘的日常卡包4段(旧）
chest_config,23,name,老板娘的日常卡包5段(旧）
chest_config,24,name,老板娘的日常卡包6段(旧）
chest_config,25,name,老板娘的日常卡包7段(旧）
chest_config,26,name,老板娘的日常卡包8段(旧）
chest_config,27,name,老板娘的日常卡包9段(旧）
chest_config,28,name,老板娘的日常卡包10段(旧）
chest_config,29,name,老板娘的日常卡包11段(旧）
chest_config,30,name,老板娘的日常卡包1段
chest_config,31,name,老板娘的日常卡包2段
chest_config,32,name,老板娘的日常卡包3段
chest_config,33,name,老板娘的日常卡包4段
chest_config,34,name,老板娘的日常卡包5段
chest_config,35,name,老板娘的日常卡包6段
chest_config,36,name,老板娘的日常卡包最高段
chest_config,37,name,老板娘的日常卡包最高段
chest_config,38,name,老板娘的日常卡包1段
chest_config,39,name,老板娘的日常卡包2段
chest_config,40,name,老板娘的日常卡包3段
chest_config,41,name,老板娘的日常卡包4段
chest_config,42,name,老板娘的日常卡包5段
chest_config,43,name,老板娘的日常卡包6段
chest_config,44,name,老板娘的日常卡包7段
chest_config,45,name,老板娘的日常卡包8段
chest_config,46,name,老板娘的日常卡包9段
chest_config,47,name,老板娘的日常卡包10段
chest_config,48,name,老板娘的日常卡包11段
chest_config,49,name,老板娘的日常卡包12段
chest_config,50,name,老板娘的日常卡包13段
chest_config,51,name,老板娘的日常卡包最高段
chest_config,52,name,老板娘的新手卡包
chest_config,53,name,天梯赛季卡包12段
chest_config,54,name,天梯赛季卡包11段
chest_config,55,name,天梯赛季卡包10段
chest_config,56,name,天梯赛季卡包9段
chest_config,57,name,天梯赛季卡包8段
chest_config,58,name,天梯赛季卡包7段
chest_config,59,name,天梯赛季卡包6段
chest_config,60,name,天梯赛季卡包5段
chest_config,61,name,天梯赛季卡包4段
chest_config,62,name,天梯赛季卡包3段
chest_config,63,name,天梯赛季卡包2段
chest_config,64,name,天梯赛季卡包1段
power_config,melee,name_desc,近战
power_config,melee,info_desc,此卡位于前排时：对前排的敌人发动攻击
power_config,ranged,name_desc,远程
power_config,ranged,info_desc,此卡位于后排时：优先对斜向的敌人发动攻击，攻击有护甲的敌人时，有25%概率不造成任何伤害
power_config,magic,name_desc,魔法
power_config,magic,info_desc,优先对正对面的敌人进行一次无视护甲的攻击
power_config,magic_aoe,name_desc,魔法溅射
power_config,magic_aoe,info_desc,魔法攻击击中敌人时：对其相邻的敌人进行一次魔法溅射
power_config,shield,name_desc,护盾
power_config,shield,info_desc,减少此卡受到的近战和远程伤害
power_config,mshield,name_desc,魔法护盾
power_config,mshield,info_desc,减少此卡受到的魔法伤害
power_config,rally,name_desc,鼓舞士气
power_config,rally,info_desc,战斗阶段开始时：增加所有盟友的近战攻击力并免疫恐惧，持续到对方回合结束；多个鼓舞士气效果仅最大值生效
power_config,demoralize,name_desc,恫吓
power_config,demoralize,info_desc,战斗阶段开始时：减少所有敌人的近战攻击力，持续到对方回合结束；多个恫吓效果仅最大值生效
power_config,antimagic,name_desc,法术抑制
power_config,antimagic,info_desc,战斗阶段开始时：减少所有敌人的魔法攻击力，持续到对方回合结束；多个法术抑制效果仅最大值生效
power_config,heal,name_desc,治疗
power_config,heal,info_desc,回复单个受伤盟友的生命值
power_config,heal_all,name_desc,治疗-全部
